Frame Number,Detected Reading
457,567891
458,567891
459,567891
460,567891
461,567891
462,567891
463,567891
464,567891
465,567891
466,567891
467,567891
468,567891
469,567891
470,567891
471,567891
472,567891
473,567891
474,567891
475,567891
476,567891
477,567891
478,567891
479,567891
480,568899
481,5688996
482,5688996
483,568942
484,5678942
485,567892
486,567892
487,5678912
488,5678912
489,5678912
490,5678912
491,5678912
492,5678912
493,5678912
494,5678912
495,5678912
496,5678912
497,5678912
498,5678912
499,5678912
500,5678912
501,5678912
502,5678912
503,5678912
504,5678912
505,5678912
506,5678912
507,5678912
508,5678912
509,5678912
510,5678912
511,5678912
512,5678912
513,5678912
514,5678912
515,5678912
516,5678912
517,5678912
518,78912
519,987832
520,988932
521,891352
522,789135
523,789135
524,789123
525,789123
526,789123
527,789123
528,789123
529,789123
530,789123
531,789123
532,789123
533,789123
534,789123
535,789123
536,789123
537,789123
538,789123
539,789123
540,789123
541,789123
542,789123
543,789123
544,789123
545,789123
546,789123
547,789123
548,789123
549,789123
550,789123
551,789123
552,789123
553,789123
554,789123
555,789123
556,789123
557,789123
558,789123
559,789123
560,789123
561,889963
562,8899634
563,899234
564,8992334
565,894234
566,894234
567,894234
568,891234
569,891234
570,891234
571,891234
572,891234
573,891234
574,891234
575,891234
576,891234
577,891234
578,891234
579,891234
580,891234
581,891234
582,891234
583,891234
584,891234
585,891234
586,891234
587,891234
588,891234
589,891234
590,891234
591,891234
592,891234
593,891234
594,891234
595,891234
596,891234
597,891234
598,891234
599,891234
600,891234
601,891234
602,891234
603,891234
604,891234
605,891234
606,891234
607,891234
608,891234
609,891234
610,891234
611,891234
612,891234
613,891234
614,8996234
615,9966348
616,9966348
617,996348
618,992646
619,92346
620,912346
621,912346
622,912346
623,912346
624,912346
625,912346
626,912346
627,912346
628,912346
629,912346
630,912346
631,912346
632,912346
633,912346
634,912346
635,912346
636,912346
637,912346
638,912346
639,912346
640,912346
641,912346
642,912346
643,912346
644,912346
645,912346
646,912346
647,912346
648,912346
649,912346
650,912346
651,912346
652,912346
653,912346
654,912346
655,912346
656,912346
657,912346
658,912346
659,912346
660,912346
661,912346
662,912346
663,912346
664,996638
665,9663488
666,9966488
667,99648
668,9926346
669,923467
670,9123467
671,9123467
672,9123467
673,9123467
674,9123467
675,9123467
676,9123467
677,9123467
678,9123467
679,9123467
680,9123467
681,9123467
682,9123467
683,9123467
684,9123467
685,9123467
686,9123467
687,9123467
688,9123467
689,9123467
690,9123467
691,9123467
692,9123467
693,9123467
694,9123467
695,9123467
696,9123467
697,9123467
698,9123467
699,9123467
700,9123467
701,9123467
702,9123467
703,9123467
704,9123467
705,9123467
706,9123467
707,9123467
708,9123467
709,9123467
710,9123467
711,9123467
712,9123467
713,9123467
714,9123467
715,9123467
716,9123467
717,3296467
718,3296967
719,329696
720,329696
721,2329466
722,2324676
723,234676
724,234676
725,234676
726,234676
727,234676
728,234676
729,234676
730,234676
731,234676
732,234676
733,234676
734,234676
735,234676
736,234676
737,234676
738,234676
739,234676
740,234676
741,234676
742,234676
743,234676
744,234676
745,348686
746,6348886
747,3488867
748,3347
749,346767
750,34677
751,346767
752,346767
753,346767
754,346767
755,346767
756,346767
757,346767
758,346767
759,346767
760,346767
761,346767
762,346767
763,346767
764,346767
765,346767
766,346767
767,346767
768,346767
769,346767
770,346767
771,346767
772,346767
773,346767
774,346767
775,346767
776,346767
777,346767
778,346767
779,346767
780,346767
781,346767
782,346767
783,346767
784,346767
785,346767
786,346767
787,346767
788,346767
789,346767
790,346767
791,346767
792,346767
793,346867
794,346679
795,3467679
796,467679
797,467679
798,467679
799,467679
800,467679
801,467679
802,467679
803,467679
804,467679
805,467679
806,467679
807,467679
808,467679
809,467679
810,467679
811,467679
812,467679
813,467679
814,467679
815,467679
816,467679
817,467679
818,467679
819,467679
820,467679
821,467679
822,467679
823,467679
824,467679
825,467679
826,467679
827,467679
828,467679
829,467679
830,467679
831,467679
832,467679
833,467679
834,467679
835,467679
836,888679
837,888699
838,488899
839,4888899
840,476799
841,47679
842,476794
843,4676794
844,4676794
845,4676794
846,4676794
847,4676794
848,4676794
849,4676794
850,4676794
851,4676794
852,4676794
853,4676794
854,4676794
855,4676794
856,4676794
857,4676794
858,4676794
859,4676794
860,4676794
861,4676794
862,4676794
863,4676794
864,4676794
865,4676794
866,4676794
867,486994
868,88699
869,886998
870,8867998
871,886799
872,767946
873,767946
874,6767946
875,6767946
876,6767946
877,6767946
878,6767946
879,6767946
880,6767946
881,6767946
882,6767946
883,6767946
884,6767946
885,6767946
886,6767946
887,6767946
888,6767946
889,6767946
890,6767946
891,6767946
892,6767946
893,6767946
894,6767946
895,6767946
896,6767946
897,6767946
898,6767946
899,6767946
900,6767946
901,6767946
902,6767946
903,6767946
904,6767946
905,6767946
906,6767946
907,6767946
908,6767946
909,6767946
910,6767946
911,6767946
912,6767946
913,6767946
914,6767946
915,6767946
916,6767946
917,6767946
918,6767946
919,6767946
920,6767946
921,6767946
922,6767946
923,6767946
924,6767946
925,6767946
926,6767946
927,6767946
928,6767946
929,6767946
930,6767946
931,6767946
932,6767946
933,6767946
934,6767946
935,6767946
936,6767946
937,6767946
938,6767946
939,6767946
940,6767946
941,6767946
942,6767946
943,6767946
944,6767946
945,6767946
946,6767946
947,6767946
948,6767946
949,6767946
950,6767946
951,6767946
952,6767946
953,6767946
954,6767946
955,6767946
956,6767946
957,6767946
958,6767946
959,6767946
960,6767946
961,6767946
962,6767946
963,6767946
964,6767946
965,6767946
966,6767946
967,6767946
968,6767946
969,6767946
970,6767946
971,6767946
972,6767946
973,6767946
974,6767946
975,6767946
976,6767946
977,6767946
978,6767946
979,6767946
980,6767946
981,6767946
982,6767946
983,6767946
984,6767946
985,6767946
986,6767946
987,6767946
988,6767946
989,6767946
990,6767946
991,6767946
992,6767946
993,6767946
994,6767946
995,6767946
996,6767946
997,6767946
998,6767946
999,6767946
1000,6767946
1001,6767946
1002,6767946
1003,6767946
1004,6767946
1005,6767946
1006,6767946
1007,6767946
1008,6767946
1009,6767946
1010,6767946
1011,6767946
1012,6767946
1013,6767946
1014,6767946
1015,6767946
1016,6767946
1017,6767946
1018,6767946
1019,6767946
1020,6767946
1021,6767946
1022,6767946
1023,6767946
1024,6767946
1025,6767946
1026,6767946
1027,6767946
1028,6767946
1029,6767946
1030,6767946
1031,6767946
1032,6767946
1033,6767946
1034,6767946
1035,6767946
1036,6767946
1037,6767946
1038,6767946
1039,6767946
1040,6767946
1041,6767946
1042,6767946
1043,6767946
1044,6767946
1045,6767946
1046,6767946
1047,6767946
1048,6767946
1049,6767946
1050,6767946
1051,6767946
1052,6767946
1053,6767946
1054,6767946
1055,6767946
1056,6767946
1057,6767946
1058,6767946
1059,6767946
1060,6767946
1061,6767946
1062,6767946
1063,6767946
1064,6767946
1065,6767946
1066,6767946
1067,6767946
1068,6767946
1069,6767946
1070,6767946
1071,6767946
1072,6767946
1073,6767946
1074,6767946
1075,6767946
1076,6767946
1077,6767946
1078,6767946
1079,6767946
1080,6767946
1081,6767946
1082,6767946
1083,6767946
1084,6767946
1085,6767946
1086,6767946
1087,6767946
1088,6767946
1089,6767946
1090,6767946
1091,6767946
1092,6767946
1093,6767946
1094,6767946
1095,6767946
1096,6767946
1097,6767946
1098,6767946
1099,6767946
1100,6767946
1101,6767946
